rating out of 5,date
5,"Apr 05, 2023"
5,"Apr 04, 2023"
5,"Apr 03, 2023"
5,"Apr 02, 2023"
3,"Mar 31, 2023"
5,"Mar 31, 2023"
5,"Mar 31, 2023"
5,"Mar 30, 2023"
5,"Mar 28, 2023"
5,"Mar 27, 2023"
2,"Mar 27, 2023"
5,"Mar 26, 2023"
5,"Mar 26, 2023"
5,"Mar 25, 2023"
5,"Mar 24, 2023"
5,"Mar 24, 2023"
5,"Mar 23, 2023"
5,"Mar 22, 2023"
5,"Mar 21, 2023"
5,"Mar 21, 2023"
5,"Mar 20, 2023"
5,"Mar 20, 2023"
5,"Mar 20, 2023"
5,"Mar 19, 2023"
5,"Mar 19, 2023"
5,"Mar 18, 2023"
5,"Mar 18, 2023"
5,"Mar 18, 2023"
5,"Mar 17, 2023"
5,"Mar 17, 2023"
5,"Mar 17, 2023"
5,"Mar 15, 2023"
5,"Mar 15, 2023"
5,"Mar 15, 2023"
4,"Mar 14, 2023"
5,"Mar 14, 2023"
5,"Mar 14, 2023"
5,"Mar 14, 2023"
5,"Mar 13, 2023"
5,"Mar 12, 2023"
5,"Mar 12, 2023"
5,"Mar 12, 2023"
4,"Mar 11, 2023"
5,"Mar 11, 2023"
5,"Mar 11, 2023"
1,"Mar 10, 2023"
5,"Mar 10, 2023"
5,"Mar 10, 2023"
5,"Mar 10, 2023"
5,"Mar 10, 2023"
5,"Mar 10, 2023"
5,"Mar 09, 2023"
5,"Mar 09, 2023"
5,"Mar 09, 2023"
5,"Mar 09, 2023"
5,"Mar 09, 2023"
5,"Mar 08, 2023"
5,"Mar 08, 2023"
5,"Mar 08, 2023"
5,"Mar 08, 2023"
5,"Mar 08, 2023"
5,"Mar 06, 2023"
1,"Mar 06, 2023"
5,"Mar 05, 2023"
5,"Mar 04, 2023"
5,"Mar 04, 2023"
5,"Mar 04, 2023"
5,"Mar 04, 2023"
5,"Mar 03, 2023"
5,"Mar 03, 2023"
5,"Mar 02, 2023"
5,"Mar 02, 2023"
5,"Mar 01, 2023"
5,"Mar 01, 2023"
5,"Mar 01, 2023"
5,"Mar 01, 2023"
5,"Mar 01, 2023"
5,"Mar 01, 2023"
5,"Feb 28, 2023"
5,"Feb 27, 2023"
5,"Feb 27, 2023"
5,"Feb 26, 2023"
5,"Feb 26, 2023"
5,"Feb 25, 2023"
5,"Feb 25, 2023"
4,"Feb 24, 2023"
5,"Feb 24, 2023"
5,"Feb 24, 2023"
5,"Feb 23, 2023"
1,"Feb 23, 2023"
5,"Feb 22, 2023"
1,"Feb 22, 2023"
5,"Feb 22, 2023"
5,"Feb 22, 2023"
5,"Feb 20, 2023"
5,"Feb 20, 2023"
5,"Feb 20, 2023"
5,"Feb 20, 2023"
5,"Feb 19, 2023"
5,"Feb 19, 2023"
5,"Feb 18, 2023"
5,"Feb 17, 2023"
5,"Feb 17, 2023"
5,"Feb 16, 2023"
5,"Feb 16, 2023"
5,"Feb 16, 2023"
5,"Feb 15, 2023"
5,"Feb 15, 2023"
5,"Feb 15, 2023"
5,"Feb 14, 2023"
5,"Feb 14, 2023"
5,"Feb 13, 2023"
1,"Feb 13, 2023"
5,"Feb 13, 2023"
5,"Feb 13, 2023"
5,"Feb 12, 2023"
5,"Feb 12, 2023"
5,"Feb 12, 2023"
5,"Feb 11, 2023"
5,"Feb 11, 2023"
5,"Feb 11, 2023"
5,"Feb 10, 2023"
5,"Feb 09, 2023"
5,"Feb 09, 2023"
5,"Feb 09, 2023"
4,"Feb 08, 2023"
5,"Feb 08, 2023"
5,"Feb 07, 2023"
5,"Feb 07, 2023"
5,"Feb 07, 2023"
1,"Feb 07, 2023"
5,"Feb 06, 2023"
5,"Feb 06, 2023"
5,"Feb 06, 2023"
5,"Feb 06, 2023"
5,"Feb 05, 2023"
5,"Feb 05, 2023"
5,"Feb 04, 2023"
1,"Feb 04, 2023"
5,"Feb 04, 2023"
5,"Feb 03, 2023"
5,"Feb 03, 2023"
5,"Feb 03, 2023"
5,"Feb 03, 2023"
5,"Feb 02, 2023"
5,"Feb 02, 2023"
5,"Feb 01, 2023"
5,"Feb 01, 2023"
5,"Feb 01, 2023"
5,"Jan 31, 2023"
5,"Jan 31, 2023"
5,"Jan 31, 2023"
5,"Jan 30, 2023"
5,"Jan 30, 2023"
5,"Jan 30, 2023"
5,"Jan 29, 2023"
5,"Jan 28, 2023"
5,"Jan 27, 2023"
5,"Jan 27, 2023"
5,"Jan 27, 2023"
5,"Jan 27, 2023"
5,"Jan 25, 2023"
5,"Jan 25, 2023"
5,"Jan 25, 2023"
5,"Jan 24, 2023"
5,"Jan 24, 2023"
5,"Jan 23, 2023"
4,"Jan 23, 2023"
5,"Jan 22, 2023"
5,"Jan 21, 2023"
5,"Jan 20, 2023"
5,"Jan 20, 2023"
5,"Jan 20, 2023"
5,"Jan 19, 2023"
5,"Jan 19, 2023"
5,"Jan 19, 2023"
5,"Jan 18, 2023"
5,"Jan 17, 2023"
5,"Jan 17, 2023"
5,"Jan 16, 2023"
5,"Jan 15, 2023"
5,"Jan 15, 2023"
5,"Jan 14, 2023"
5,"Jan 14, 2023"
5,"Jan 13, 2023"
5,"Jan 13, 2023"
5,"Jan 13, 2023"
5,"Jan 12, 2023"
1,"Jan 12, 2023"
5,"Jan 11, 2023"
5,"Jan 10, 2023"
5,"Jan 10, 2023"
5,"Jan 10, 2023"
5,"Jan 10, 2023"
5,"Jan 09, 2023"
5,"Jan 09, 2023"
5,"Jan 08, 2023"
5,"Jan 08, 2023"
5,"Jan 08, 2023"
5,"Jan 08, 2023"
5,"Jan 07, 2023"
5,"Jan 07, 2023"
5,"Jan 06, 2023"
1,"Jan 05, 2023"
5,"Jan 05, 2023"
3,"Jan 05, 2023"
5,"Jan 04, 2023"
5,"Jan 02, 2023"
4,"Dec 31, 2022"
5,"Dec 31, 2022"
5,"Dec 29, 2022"
5,"Dec 28, 2022"
5,"Dec 28, 2022"
4,"Dec 28, 2022"
5,"Dec 27, 2022"
5,"Dec 25, 2022"
5,"Dec 24, 2022"
5,"Dec 23, 2022"
5,"Dec 22, 2022"
5,"Dec 22, 2022"
5,"Dec 22, 2022"
5,"Dec 21, 2022"
2,"Dec 21, 2022"
1,"Dec 21, 2022"
5,"Dec 20, 2022"
5,"Dec 20, 2022"
5,"Dec 20, 2022"
5,"Dec 19, 2022"
5,"Dec 19, 2022"
5,"Dec 19, 2022"
5,"Dec 18, 2022"
1,"Dec 18, 2022"
5,"Dec 17, 2022"
4,"Dec 16, 2022"
5,"Dec 16, 2022"
5,"Dec 16, 2022"
5,"Dec 15, 2022"
5,"Dec 15, 2022"
5,"Dec 15, 2022"
5,"Dec 15, 2022"
5,"Dec 15, 2022"
5,"Dec 15, 2022"
5,"Dec 14, 2022"
5,"Dec 14, 2022"
5,"Dec 13, 2022"
